## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-01-22_14-04-46 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch1;ch2;ch3;ch4
3311;-3900;-3900;287
180;175;128;150
84;128;79;100
111;96;95;84
119;68;118;74
88;95;72;106
87;88;79;80
110;64;88;111
64;88;87;72
100;79;76;111
79;80;87;64
108;64;92;95
48;111;48;80
111;64;111;56
84;95;64;92
95;72;96;95
64;103;52;88
79;72;95;64
92;54;80;95
40;89;87;40
80;87;64;95
71;68;59;48
95;40;93;63
48;95;48;48
74;79;40;70
63;64;87;45
44;87;32;64
91;32;79;47
40;87;24;44
87;20;48;79
32;48;63;32
76;16;64;63
16;75;22;52
79;32;63;20
40;79;20;66
63;40;63;24
40;79;32;79
37;52;63;24
64;79;32;72
79;64;46;40
82;36;76;87
44;64;79;63
40;87;36;72
79;52;91;79
40;95;48;95
59;64;79;40
64;95;40;86
63;72;95;48
64;95;48;95
71;64;95;44
64;95;40;78
95;52;64;95
36;95;40;68
95;48;95;47
64;95;40;64
95;32;76;63
40;64;63;44
79;55;32;66
63;40;79;32
64;87;32;64
79;56;79;32
68;45;68;79
42;52;55;48
79;32;52;63
32;52;55;24
66;20;56;47
32;64;31;48
79;32;66;63
32;79;32;64
79;36;79;39
40;79;26;64
87;32;68;79
36;66;39;52
78;32;64;87
20;78;32;64
79;36;76;55
32;94;32;64
95;40;72;63
32;91;39;64
93;32;68;63
40;95;36;78
79;44;82;71
44;76;47;64
95;40;74;63
44;76;63;64
95;40;78;95
54;68;63;40
76;79;40;64
95;40;79;87
46;76;55;48
70;79;32;83
63;68;95;32
70;79;48;76
87;48;84;79
44;68;44;64
79;40;87;32
48;79;20;79
34;64;31;32
79;32;66;63
32;52;79;32
36;79;39;52
70;63;40;79
79;48;87;36
40;79;32;64
63;48;79;51
40;64;87;47
48;91;32;68
87;52;63;32
64;95;40;72
95;48;90;63
48;95;42;68
95;52;95;48
68;95;40;76
79;64;92;63
64;84;59;68
94;54;68;95
36;95;44;72
87;48;76;79
40;95;36;64
87;64;63;64
95;40;80;87
44;68;79;32
52;79;32;48
87;32;79;28
48;87;32;72
63;68;39;36
72;47;40;79
20;56;79;28
32;79;26;52
79;32;71;39
32;75;20;54
63;32;63;22
52;79;24;48
63;48;78;63
36;87;20;64
63;48;79;47
32;79;32;64
95;40;82;63
36;87;38;64
95;32;78;63
36;95;34;64
95;48;86;63
44;64;55;64
92;36;68;95
44;68;79;64
95;40;95;48
76;50;80;59
88;40;84;59
84;44;76;60
72;63;64;95
48;95;40;87
68;64;79;64
95;48;95;40
95;40;93;40
86;36;76;47
76;36;64;55
68;47;56;63
40;79;40;79
43;64;47;64
63;48;63;48
87;32;79;32
64;28;52;63
48;63;36;79
32;79;32;68
63;40;79;32
79;24;76;24
68;28;64;29
66;32;64;32
68;24;64;31
64;29;52;63
48;55;48;79
36;63;52;79
48;79;40;87
48;79;40;86
51;74;55;68
79;48;95;44
86;40;80;42
84;44;82;55
72;63;64;79
52;87;64;95
48;95;48;86
95;64;95;64
103;52;95;50
101;50;80;63
88;55;76;79
64;79;64;80
79;64;63;48
66;94;32;72
95;48;87;44
48;95;38;52
