## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-01-22_14-03-57 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch1;ch2;ch3;ch4
3311;-3900;-3900;3311
164;182;143;112
142;88;112;127
76;118;127;72
88;119;68;80
111;79;64;99
79;96;111;66
64;92;95;48
86;52;72;95
79;76;111;63
64;103;62;64
95;60;72;103
71;64;95;63
64;95;48;64
92;55;80;95
48;64;84;95
42;90;63;64
95;64;95;44
82;48;76;95
69;64;107;52
80;79;72;103
50;107;79;64
92;48;64;95
79;64;95;63
64;95;48;95
48;89;55;72
95;48;94;47
64;95;48;95
44;80;79;40
80;63;48;95
48;95;40;91
40;91;42;74
79;52;87;38
64;87;48;95
36;64;79;52
95;32;48;78
79;32;48;79
55;64;79;36
68;32;64;87
32;79;47;40
79;36;64;79
32;87;42;64
84;36;64;87
46;82;63;40
87;47;68;79
64;79;64;95
40;92;59;76
87;64;95;48
86;71;64;95
68;95;64;103
64;103;52;88
71;76;103;48
100;52;84;79
72;95;52;103
48;86;95;48
92;63;64;95
95;48;80;87
64;103;48;72
94;44;68;95
42;90;63;48
82;40;48;87
63;72;79;32
95;36;64;79
32;84;55;48
68;79;40;87
40;87;32;72
47;64;71;40
78;45;48;79
32;79;32;70
43;64;63;36
79;28;64;63
48;79;32;79
32;76;55;48
79;32;79;47
56;64;79;44
87;43;48;78
79;64;93;63
52;95;40;64
95;40;72;95
44;90;79;48
103;48;64;95
79;48;92;79
48;95;44;72
95;44;64;95
79;64;103;48
80;95;64;103
52;95;63;64
103;49;82;79
68;95;64;95
64;95;64;103
52;92;63;68
95;40;95;46
84;71;68;79
64;95;44;64
95;47;48;87
53;76;71;40
76;32;52;87
47;64;79;47
48;79;40;72
47;64;63;32
64;34;36;71
63;50;79;34
48;77;38;44
79;32;79;63
32;64;79;32
48;79;34;48
78;32;40;78
63;68;63;32
68;38;40;78
63;64;79;36
68;36;64;93
61;48;95;55
56;95;40;80
79;80;79;48
86;63;68;95
40;95;63;64
95;48;68;95
70;64;103;54
80;61;64;84
87;80;95;48
90;79;64;86
87;64;101;71
72;52;64;92
71;80;95;48
80;63;64;78
87;76;95;55
64;92;47;64
95;40;52;87
79;52;84;63
48;79;38;64
95;48;68;87
36;76;63;32
68;32;40;79
47;64;63;32
85;36;52;78
63;36;79;55
48;47;32;70
63;64;63;32
68;32;36;74
63;64;63;36
87;48;91;44
64;95;36;64
86;55;48;86
63;76;63;40
76;46;64;95
42;68;95;59
64;87;48;88
79;76;103;59
64;95;44;68
95;64;95;62
72;63;64;95
71;48;86;95
44;102;55;72
111;64;95;87
64;95;64;95
64;103;48;92
63;82;62;80
78;72;95;64
95;48;87;47
80;50;86;46
76;55;64;63
48;87;44;64
63;64;79;48
87;40;79;36
82;32;78;32
68;36;56;63
36;79;44;79
32;70;32;64
55;48;63;40
79;32;79;32
64;39;52;63
48;79;32;87
44;64;59;64
63;64;95;52
79;64;79;64
79;48;82;95
40;95;48;93
52;76;95;84
71;80;79;84
71;80;79;64
95;48;95;52
95;52;95;56
80;52;80;61
72;87;64;95
48;95;48;94
61;88;48;76
79;64;95;52
88;44;82;61
68;79;64;87
52;95;48;95
63;74;79;64
95;48;91;50
68;63;72;55
40;95;44;68
63;64;79;48
95;32;48;76
79;40;87;32
64;79;48;79
38;52;76;79
45;78;55;44
74;36;40;77
63;48;79;42
64;47;40;70
63;52;79;22
64;47;48;79
36;70;63;32
68;47;40;64
79;48;79;24
64;38;64;87
55;68;95;36
66;51;64;95
47;86;79;64
80;40;86;63
48;78;40;80
63;68;79;48
95;48;86;79
52;95;61;64
92;55;64;86
95;48;94;71
64;92;95;44
80;71;72;95
48;92;95;48
78;79;64;95
63;80;87;40
82;61;52;86
79;48;87;44
64;95;40;64
95;40;95;47
52;95;36;52
93;55;40;68
79;32;64;79
38;70;63;32
68;32;56;79
32;68;79;32
64;34;52;79
63;40;79;55
48;39;32;71
63;64;79;39
40;87;32;68
79;52;79;32
64;63;32;78
79;47;48;79
71;36;56;83
63;64;95;36
68;55;52;87
63;68;92;79
