## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2018-12-17_16-23-03 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# %d;%d;%d;%d
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
10;0;0;0
26;10;0;0
34;26;2;0
46;51;42;40
62;78;90;104
86;122;170;186
110;168;238;290
138;186;298;352
142;194;326;384
142;200;330;387
166;234;366;424
186;270;374;435
194;282;386;427
198;290;386;425
190;280;378;432
175;258;354;408
142;202;318;370
118;187;290;333
98;155;246;312
78;122;206;256
42;58;110;153
14;10;14;32
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
14;2;0;0
30;18;0;0
38;35;18;9
58;74;78;80
78;106;142;146
106;160;214;255
130;174;278;328
142;194;314;368
142;202;330;384
154;218;350;408
178;258;367;432
194;282;384;424
198;288;386;424
194;282;378;433
184;266;362;419
158;232;350;395
122;194;303;352
98;162;262;304
78;130;207;264
54;75;134;160
26;26;46;67
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
14;0;0;0
26;14;0;0
34;32;6;0
54;66;62;58
66;90;114;131
98;138;182;218
122;186;266;305
138;191;306;355
142;195;326;384
150;206;335;392
170;248;382;440
190;275;379;440
198;282;384;424
194;282;384;419
186;274;370;426
166;242;362;411
134;187;310;360
106;162;266;312
90;138;224;281
66;99;174;218
34;43;78;106
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
10;0;0;0
22;10;0;0
32;26;2;0
42;42;26;16
58;75;82;88
78;107;146;160
110;163;226;267
134;179;282;330
138;194;319;376
142;202;330;384
158;226;358;411
186;266;370;432
194;282;384;424
198;288;386;424
194;282;378;434
182;266;362;424
154;224;342;392
122;195;303;347
102;163;262;299
78;128;202;257
46;66;122;168
22;26;42;59
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
