## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2019-02-04_16-16-39 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch/%d;%d;%d;%d;lp/%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;
0;0;0;0;80;90;90;84;86;86;80;80;80;81;81;81;79;78;78;
0;0;0;0;80;90;90;84;86;86;80;80;80;81;81;81;79;78;78;
0;0;0;0;80;90;90;84;86;86;80;80;80;81;81;81;79;78;78;
0;0;0;0;80;90;90;84;86;86;80;80;80;81;81;81;79;78;78;
0;0;0;0;80;90;90;84;86;86;80;80;80;81;81;81;79;78;78;
0;0;0;0;80;90;90;84;86;86;80;80;80;81;81;81;79;78;78;
0;0;0;0;80;90;90;84;86;86;80;80;80;81;81;81;79;78;78;
0;0;0;0;80;90;90;84;86;86;80;80;80;81;81;81;79;78;78;
0;0;0;0;80;90;90;84;86;86;80;80;80;81;81;81;79;78;78;
0;0;0;0;80;90;90;84;86;86;80;80;80;81;81;81;79;78;78;
0;0;0;0;79;89;89;85;86;86;80;79;79;81;80;80;79;77;77;
0;0;0;0;79;89;89;85;86;86;80;79;79;81;80;80;79;77;77;
0;0;0;0;81;88;88;85;86;86;81;80;80;81;80;80;77;75;75;
0;0;0;0;81;87;87;86;86;86;81;80;80;81;80;80;76;74;74;
0;0;0;0;81;87;87;86;86;86;81;80;80;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
0;0;0;0;82;87;87;86;86;86;82;81;81;81;80;80;76;74;74;
