## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-01-22_13-51-32 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch1;ch2;ch3;ch4
3311;-3900;-3900;1339
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;117;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2574;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;936;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3393;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1755;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;117;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2574;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;936;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3393;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1755;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;117;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2574;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;936;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3393;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1755;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;117;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2574;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;936;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3393;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1755;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;117;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2574;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;936;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3393;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1755;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;117;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2574;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;936;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3393;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1755;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;117;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2574;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;936;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3393;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1755;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;117;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2574;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;936;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1754;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3393;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;116;168
219;270;321;372
424;475;526;577
628;680;731;782
833;884;935;987
1038;1089;1140;1191
1243;1294;1345;1396
1447;1499;1550;1601
1652;1703;1755;1806
1857;1908;1959;2010
2062;2113;2164;2215
2266;2318;2369;2420
2471;2522;2573;2625
2676;2727;2778;2829
2881;2932;2983;3034
3085;3137;3188;3239
3290;3341;3392;3444
3495;3546;3597;3648
3700;3751;3802;3853
3904;3956;4007;4058
14;65;117;168
219;270;321;372
424;475;526;577
628;680;731;782
