## File generated by myo_cap software
## Available from github.com/ddantas/myo_cap
## Timestamp: 2018-05-23_20-57-32
##
## EMG capture settings##
# sampleRate: 2000
# channelsPerBoard: 4
# nBoards: 1
# bitsPerSample: 12
##
## Data
## t;ch0;ch1;...;ch(channelsPerBoard * nBoards - 1)
61;80;119;138
81;121;145;141
111;133;152;136
181;235;254;241
257;333;328;301
247;339;323;279
188;262;257;243
89;146;137;126
0;3;13;14
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
14;0;0;0
24;16;17;21
39;40;56;82
60;81;120;138
95;126;136;136
125;148;139;128
244;296;253;248
260;332;314;278
221;307;263;254
141;213;227;245
20;68;119;135
0;0;11;27
0;0;0;0
0;0;0;0
0;0;0;0
11;1;1;6
26;17;22;39
40;44;62;92
59;83;119;137
83;128;133;137
117;147;135;144
236;288;253;252
269;333;324;309
227;318;283;256
166;253;251;260
45;118;138;140
0;0;16;23
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
20;6;4;2
31;28;32;40
55;71;100;120
81;120;137;141
110;159;145;137
191;251;240;245
257;339;327;306
249;318;304;269
188;255;246;253
90;143;134;139
0;1;14;23
0;0;0;0
0;0;0;0
0;0;0;0
3;0;0;1
20;6;10;6
28;19;24;33
49;60;84;123
66;99;138;135
93;133;139;134
131;159;157;145
259;308;273;252
256;327;310;272
222;304;268;258
132;217;241;225
8;54;112;127
0;0;15;24
0;0;0;0
0;0;0;0
0;0;0;0
12;0;1;1
33;25;32;45
47;60;85;126
72;106;133;136
98;137;138;139
128;148;134;150
249;312;261;250
264;345;332;318
221;310;272;250
142;220;245;247
17;66;126;126
0;0;16;28
0;0;0;0
0;0;0;0
2;0;0;0
10;0;1;0
26;20;21;38
42;45;64;95
69;95;128;132
91;131;138;131
122;144;132;154
245;277;251;255
264;348;338;318
226;320;292;251
158;247;252;251
35;105;142;131
0;0;13;23
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;1
18;5;5;5
40;40;49;72
55;73;103;136
78;122;135;133
111;154;138;132
197;258;252;252
263;341;341;323
255;321;310;277
191;259;256;241
83;132;151;135
0;0;15;20
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
18;5;7;14
25;21;27;33
50;61;87;127
67;98;139;142
100;141;135;139
135;166;165;153
255;305;265;258
258;323;290;255
206;275;250;243
127;192;203;214
6;38;78;129
0;0;8;22
0;0;0;0
0;0;0;0
0;0;0;0
10;0;1;0
29;22;28;44
47;55;79;126
70;102;130;147
93;132;137;133
121;146;132;146
248;307;255;255
257;334;313;282
220;305;263;248
141;209;238;221
18;62;122;134
0;0;18;31
0;0;0;0
0;0;0;0
0;0;0;0
16;3;3;5
31;25;32;47
49;59;84;125
63;93;127;135
97;131;143;134
127;142;131;152
249;301;259;254
261;338;321;294
236;328;296;254
163;246;247;253
41;110;130;131
0;0;6;17
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
28;17;21;31
47;50;72;119
62;85;130;142
85;130;140;132
119;151;142;129
240;270;249;253
267;323;304;270
240;303;266;257
172;250;245;246
53;120;133;143
0;3;14;21
0;0;0;0
0;0;0;0
0;0;0;0
12;1;1;1
20;7;6;4
40;40;53;73
56;73;107;131
81;124;136;139
109;165;150;138
193;260;248;260
258;352;349;341
253;333;325;312
194;262;261;242
97;144;138;133
1;3;12;25
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;1
15;1;0;0
32;27;32;45
50;64;89;127
66;98;139;136
97;134;134;139
130;158;148;133
251;295;260;244
259;327;311;268
225;301;263;243
142;210;235;218
19;63;118;128
0;0;10;17
0;0;0;0
0;0;0;0
0;0;0;0
10;1;0;0
23;15;17;18
48;54;77;117
72;103;133;136
93;133;148;137
126;147;137;137
256;288;258;254
262;329;303;262
227;308;271;256
145;215;249;246
18;61;119;136
0;0;10;28
0;0;0;0
0;0;0;0
0;0;0;0
11;0;0;0
25;15;19;19
49;53;75;110
65;92;131;137
96;135;142;137
126;141;134;134
248;301;256;251
266;345;332;318
226;314;279;254
147;220;247;245
28;82;134;137
0;0;11;30
0;0;0;0
0;0;0;0
0;0;0;0
15;1;1;9
21;12;6;13
43;45;62;98
62;82;120;138
86;128;135;137
120;148;132;145
234;291;257;254
271;338;332;321
234;326;300;260
165;247;257;248
50;118;136;131
0;1;14;17
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
21;7;4;3
30;28;32;43
47;59;83;121
77;118;134;135
115;139;132;138
163;209;228;251
257;331;326;317
250;321;304;268
196;261;258;229
116;151;153;135
2;4;16;22
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;1
10;0;0;0
28;24;28;44
44;49;71;104
64;89;129;142
96;134;131;150
124;146;133;135
247;301;256;248
260;337;322;290
226;312;272;244
145;222;243;228
22;74;129;132
0;0;14;20
0;0;0;0
0;0;0;0
0;0;0;1
6;0;0;0
26;16;20;32
42;50;66;110
59;84;124;131
90;127;133;132
118;145;135;139
243;274;258;253
268;331;317;306
235;328;299;259
169;250;260;248
45;109;147;132
0;0;14;33
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
27;15;19;28
42;47;64;98
58;79;117;134
89;129;133;133
115;136;148;135
217;259;245;263
262;354;341;337
235;339;323;288
171;251;254;251
64;125;136;129
0;1;14;26
0;0;0;0
0;0;0;0
0;0;0;0
9;0;0;1
15;3;3;1
31;22;26;32
49;56;77;117
71;98;134;139
107;129;131;136
142;181;191;207
256;336;316;293
259;356;355;349
200;287;264;256
124;181;196;210
11;28;68;112
0;0;0;12
0;0;0;0
0;0;0;0
3;0;0;1
19;8;9;11
35;32;48;64
46;60;89;131
68;102;137;137
109;132;138;139
145;186;199;216
252;331;310;278
264;344;338;314
216;297;268;258
128;185;196;204
5;22;56;92
0;0;0;8
0;0;0;0
0;0;0;0
0;0;0;0
7;0;0;0
26;19;21;33
35;43;57;86
56;80;118;134
82;129;136;137
112;144;135;132
228;278;250;246
269;334;328;306
239;335;313;275
175;262;254;247
63;128;137;131
0;0;5;11
0;0;0;0
0;0;0;0
0;0;0;0
8;0;1;1
28;17;19;29
34;31;43;68
56;76;110;131
81;121;136;143
112;144;135;137
194;253;245;253
259;337;332;317
253;316;304;272
190;255;256;237
83;135;137;136
0;5;26;39
0;0;0;0
0;0;0;0
0;0;0;0
9;0;1;1
19;2;1;2
28;19;23;24
46;50;66;96
66;92;129;137
97;135;134;140
126;156;150;141
251;295;264;253
266;337;324;309
225;306;269;261
143;212;227;253
16;62;113;131
0;0;13;28
0;0;0;0
0;0;0;0
0;0;0;0
16;4;4;6
24;14;14;19
45;51;67;108
64;89;130;142
97;133;134;133
124;150;133;139
247;286;253;253
261;349;339;320
218;310;279;257
142;221;244;247
21;71;124;130
0;0;5;16
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
23;13;18;28
31;33;45;69
56;79;118;137
81;122;143;135
113;135;135;137
216;259;255;256
267;330;327;319
237;335;313;269
176;251;261;251
67;129;136;131
0;0;9;12
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
18;8;9;16
30;23;28;40
52;65;92;131
73;108;136;133
104;155;141;132
145;192;200;209
255;339;322;289
256;333;320;286
204;279;255;259
123;165;158;150
0;6;21;23
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
22;17;17;30
43;48;66;108
60;83;120;134
86;129;136;142
120;152;134;136
234;286;253;245
262;356;347;334
232;332;313;269
169;256;253;235
48;116;142;137
0;3;19;32
0;0;0;0
0;0;0;0
0;0;0;0
9;1;1;2
21;10;7;5
31;31;32;46
52;66;88;131
74;115;128;138
111;141;134;131
175;227;245;254
256;329;322;298
254;323;310;269
199;267;256;236
99;148;138;135
0;3;8;12
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;1
13;1;2;3
21;8;6;7
43;44;59;85
59;79;119;134
83;126;138;142
117;142;135;137
213;259;246;253
264;359;359;355
248;326;318;298
187;255;258;251
74;128;147;133
0;1;18;29
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
22;11;13;18
37;37;48;78
58;76;118;135
85;125;135;132
115;147;132;139
189;248;239;240
261;361;366;377
253;336;333;334
194;262;257;252
91;136;137;138
0;0;10;20
0;0;0;0
0;0;0;0
0;0;0;0
8;0;1;1
15;2;0;2
24;20;19;22
49;55;76;113
76;109;125;130
108;134;134;136
133;168;165;152
255;310;268;255
254;325;295;258
207;281;255;245
128;178;190;184
6;30;62;103
0;0;1;16
0;0;0;0
0;0;0;0
0;0;0;0
15;1;2;2
23;13;14;17
38;41;54;77
59;81;121;139
89;130;139;132
124;148;140;133
240;275;249;248
271;329;320;295
227;316;279;252
159;240;230;251
38;105;135;136
0;0;12;22
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
17;7;5;2
30;28;33;42
49;62;83;124
80;120;135;132
111;143;140;139
174;225;250;251
255;328;322;301
250;316;296;260
192;259;249;259
99;156;148;133
2;12;32;42
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
20;7;9;12
28;18;27;34
52;61;87;130
67;100;141;134
98;136;149;135
133;156;156;148
259;307;270;263
262;334;313;280
210;286;252;258
135;185;195;204
6;29;60;100
0;0;0;10
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
23;14;17;32
43;43;64;100
61;82;119;132
88;130;137;142
119;153;137;139
246;280;249;248
263;349;338;320
237;335;316;277
168;251;253;234
45;109;140;131
0;0;11;20
0;0;0;0
0;0;0;0
0;0;0;0
11;1;1;1
21;6;4;4
34;32;37;51
52;67;93;131
80;120;135;137
107;153;134;134
184;253;250;258
257;341;327;308
253;324;306;275
189;259;247;258
96;154;149;137
0;4;16;23
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;2
16;5;8;7
33;27;39;52
48;64;93;129
66;98;140;139
102;138;134;133
131;157;150;140
253;292;260;246
263;332;316;289
227;309;270;259
135;211;226;241
17;56;109;132
0;0;13;31
0;0;0;0
0;0;0;0
0;0;0;0
16;6;7;10
31;29;36;48
52;64;96;133
67;102;138;143
100;138;138;139
134;176;184;197
254;313;279;250
260;322;298;257
204;277;253;249
134;180;196;211
8;27;65;117
0;0;0;15
0;0;0;0
0;0;0;0
0;0;0;0
16;4;2;4
29;23;32;52
52;58;87;131
66;93;133;133
95;131;145;132
120;157;144;138
253;300;263;255
269;334;324;299
219;308;272;243
153;228;254;225
36;92;133;133
0;0;16;28
0;0;0;0
0;0;0;0
0;0;0;1
8;0;0;0
20;9;4;4
36;30;36;43
55;68;96;130
75;115;129;140
108;155;137;132
179;242;232;254
256;337;327;308
251;341;325;294
191;266;260;248
90;145;136;137
1;5;14;32
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;2
15;6;3;6
25;20;21;23
46;49;67;95
68;99;132;136
90;133;138;128
124;148;139;140
250;293;260;258
265;353;342;321
221;316;289;250
154;236;264;244
28;93;137;139
0;0;16;23
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
23;14;14;30
40;45;63;100
63;90;129;131
86;131;135;137
118;153;137;140
237;295;256;260
266;335;329;319
229;324;292;253
163;246;254;237
48;120;135;130
0;4;19;27
0;0;0;0
0;0;0;0
0;0;0;0
4;0;0;1
15;5;0;2
34;24;29;37
53;69;96;135
79;119;139;139
105;154;137;139
170;234;253;240
257;329;321;302
255;328;316;281
205;275;259;252
107;168;165;148
3;17;39;56
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
14;1;2;0
33;25;36;49
51;64;93;128
66;98;141;139
98;135;134;139
129;160;153;142
252;292;254;256
258;326;303;261
217;297;261;242
139;203;227;255
19;61;123;136
0;0;13;33
0;0;0;0
0;0;0;0
2;0;0;1
19;7;9;11
27;21;22;32
49;59;85;124
67;98;136;134
94;134;133;137
130;158;149;133
254;292;254;252
258;325;302;266
217;295;255;253
133;194;206;214
15;52;100;135
0;0;9;24
0;0;0;0
0;0;0;0
0;0;0;0
8;0;0;0
29;19;26;33
45;51;73;112
62;85;128;131
95;128;131;135
123;144;131;152
231;282;250;246
263;335;322;290
237;322;288;259
159;247;246;248
48;122;141;134
0;1;20;33
0;0;0;0
0;0;0;0
0;0;0;0
10;1;1;2
21;11;5;5
39;46;58;92
63;85;120;127
82;127;140;138
112;143;138;135
214;256;248;258
264;357;356;348
238;316;301;261
183;258;255;239
76;132;133;147
0;1;5;15
0;0;0;0
0;0;0;0
0;0;0;0
4;0;0;1
20;10;10;12
37;36;46;74
57;74;108;130
83;124;135;144
108;155;137;136
172;234;256;233
261;334;329;308
251;315;298;258
196;264;259;253
99;159;156;136
3;15;35;54
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
13;1;1;0
31;25;32;52
50;60;85;122
69;98;134;128
105;139;130;134
128;160;157;154
253;292;260;251
260;329;307;280
220;301;264;253
135;202;219;237
17;60;110;137
0;0;4;16
0;0;0;0
0;0;0;0
0;0;0;0
10;0;0;0
31;25;31;45
47;59;81;124
65;96;132;131
93;135;137;135
120;166;156;134
245;297;261;245
262;358;352;340
213;308;281;255
138;212;236;219
25;77;126;126
0;0;5;11
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
26;16;18;32
44;50;69;115
70;95;132;135
89;133;137;137
121;146;135;135
229;274;252;249
265;358;355;360
236;333;322;290
169;251;256;230
57;126;130;129
0;0;13;18
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
24;13;12;25
43;48;62;103
62;87;128;135
83;130;135;143
114;142;135;133
212;259;245;251
259;349;341;323
243;318;306;271
177;252;243;252
63;129;136;136
0;2;15;21
0;0;0;0
0;0;0;0
0;0;0;0
10;0;1;1
24;13;14;27
36;33;44;66
57;80;115;137
86;128;134;130
119;150;138;139
205;257;258;246
258;347;341;323
245;323;307;278
182;256;260;250
83;130;135;137
0;4;19;35
0;0;0;1
0;0;0;0
0;0;0;0
9;0;1;1
18;4;3;3
27;21;23;32
48;64;85;126
75;112;132;137
111;134;132;135
141;175;177;180
254;308;272;257
259;341;314;278
206;291;263;246
129;178;183;181
11;34;66;105
0;0;0;5
0;0;0;0
0;0;0;0
0;0;0;0
13;1;0;1
31;27;30;47
49;63;92;130
65;101;129;138
106;127;135;137
131;166;167;173
251;300;261;253
258;329;311;277
217;295;263;253
131;189;204;218
8;39;84;129
0;0;5;29
0;0;0;0
0;0;0;0
0;0;0;1
5;0;0;2
21;6;3;5
40;41;52;74
58;81;121;146
81;124;148;137
111;138;138;138
188;246;253;246
261;338;332;330
246;334;319;284
182;257;249;236
84;139;137;136
0;1;14;14
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
15;6;6;10
30;30;37;59
47;64;89;135
69;102;135;140
105;149;136;136
137;179;177;178
253;309;277;260
261;342;315;279
202;282;249;253
126;170;174;176
2;20;48;72
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;1
6;0;0;0
18;7;7;5
32;30;32;46
50;66;88;131
74;113;131;134
111;138;131;147
177;229;247;252
258;332;317;296
247;339;320;277
186;261;259;235
94;150;143;137
0;4;15;19
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
10;2;0;1
23;19;16;22
48;55;77;117
73;107;134;133
99;140;136;140
133;158;158;150
248;309;272;264
260;345;329;301
210;298;267;255
130;193;218;234
10;49;102;138
0;0;10;24
0;0;0;2
0;0;0;0
0;0;0;0
20;10;11;13
31;29;33;46
48;62;83;123
80;120;137;132
110;139;137;133
149;181;188;190
251;309;278;258
251;313;274;249
197;261;244;254
121;171;170;159
17;28;54;77
0;0;0;2
0;0;0;0
0;0;0;0
2;0;0;1
19;8;9;12
35;35;45;73
58;72;110;127
75;115;133;139
104;147;132;140
139;180;180;191
246;320;282;250
252;323;289;252
206;277;257;241
130;169;178;172
14;34;71;104
0;0;0;7
0;0;0;0
0;0;0;0
0;0;0;0
14;2;3;0
36;30;36;51
53;65;97;139
76;112;130;137
107;133;137;133
129;156;150;146
250;289;256;255
256;341;317;282
206;285;252;258
129;194;208;241
19;53;99;137
0;0;14;25
0;0;0;0
0;0;0;0
0;0;0;0
15;1;1;1
28;19;20;23
51;59;80;122
74;111;130;127
99;138;142;143
130;154;147;138
249;308;262;255
261;322;298;263
206;282;256;253
131;198;219;244
21;62;113;129
0;0;14;38
0;0;0;0
0;0;0;0
1;0;0;1
20;7;9;13
28;21;24;33
50;60;86;125
70;99;139;142
106;142;138;135
135;157;153;134
248;288;252;257
257;341;310;269
206;284;250;254
135;189;198;209
28;64;111;131
0;0;14;31
0;0;0;0
0;0;0;0
1;0;0;0
16;8;6;16
38;35;47;73
55;71;110;127
82;122;135;133
106;148;135;132
143;182;193;202
251;301;269;263
256;319;284;260
211;273;254;243
124;164;159;154
6;22;44;61
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
14;1;0;1
30;25;28;45
44;53;70;104
63;90;133;138
95;134;132;133
127;152;138;133
234;285;253;245
256;324;300;262
216;295;255;253
139;209;224;242
37;90;132;136
0;1;22;44
0;0;0;1
0;0;0;0
0;0;0;0
8;0;0;1
22;14;9;12
36;38;45;64
62;81;117;128
90;130;131;142
119;147;136;141
205;257;249;264
258;323;303;272
231;321;286;254
168;250;258;248
74;135;137;139
0;6;24;35
0;0;0;2
0;0;0;0
0;0;0;0
11;0;1;3
25;9;13;10
46;46;62;98
59;81;116;132
82;127;132;139
114;137;135;134
178;237;257;246
262;328;319;290
242;310;279;253
183;257;259;243
90;140;133;133
1;7;20;29
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
20;10;10;16
32;29;34;51
53;64;91;127
81;121;132;132
110;157;141;141
149;196;207;221
252;308;279;251
250;334;300;254
193;264;253;254
124;169;171;174
21;37;70;114
0;0;5;19
0;0;0;0
0;0;0;0
3;0;0;0
27;14;22;29
37;37;53;75
63;85;123;127
89;129;132;133
114;130;144;143
177;222;249;245
254;341;331;308
238;339;321;278
188;261;250;237
97;164;161;147
5;24;50;67
0;0;0;5
0;0;0;0
0;0;0;0
3;0;0;0
16;3;4;0
37;35;45;65
55;71;108;130
82;122;134;130
103;148;134;137
137;176;182;187
250;323;292;261
249;315;283;254
194;263;249;257
122;188;195;193
14;48;82;123
0;0;10;36
0;0;0;0
0;0;0;0
11;0;1;1
21;8;7;5
37;31;38;48
56;69;99;128
81;123;126;133
106;147;133;137
155;198;215;242
252;303;278;255
252;333;300;255
190;264;251;253
119;157;158;148
13;26;54;77
0;0;0;2
0;0;0;0
0;0;0;0
3;0;0;1
21;11;9;15
38;38;47;80
58;77;117;136
80;122;137;136
117;148;136;138
149;185;191;198
247;322;283;253
249;339;308;262
194;267;254;238
120;160;163;157
13;33;56;92
0;0;1;17
0;0;0;0
0;0;0;0
2;0;0;0
17;5;2;2
31;26;29;33
55;68;97;127
71;110;140;137
99;145;134;136
132;167;170;171
247;295;264;255
256;335;306;263
196;274;251;246
129;187;197;210
23;55;100;141
0;0;13;30
0;0;0;0
0;0;0;0
7;0;1;4
17;4;2;2
29;22;23;34
53;65;88;122
71;106;137;140
102;142;139;132
134;167;166;164
247;314;274;257
252;319;284;250
204;276;248;238
131;180;185;187
26;50;92;132
0;0;9;25
0;0;0;1
0;0;0;0
1;0;0;0
21;10;10;12
31;29;38;54
49;62;88;127
77;117;133;147
102;149;135;135
143;182;196;208
250;306;268;261
253;310;269;255
203;266;253;248
119;181;183;185
22;52;95;132
0;0;12;24
0;0;0;1
0;0;0;0
4;0;0;1
19;11;3;5
31;31;32;42
52;66;90;132
79;121;136;131
114;142;137;133
150;194;203;215
254;308;283;260
245;324;286;253
194;267;249;235
114;163;157;145
22;39;66;103
0;0;0;8
0;0;0;0
0;0;0;0
10;1;1;1
23;13;11;12
39;39;49;69
62;84;120;130
88;129;134;132
119;133;138;139
180;231;251;243
259;331;317;299
250;317;294;258
192;254;257;258
91;146;137;132
4;19;40;54
0;0;0;1
0;0;0;0
0;0;0;0
7;0;0;2
20;14;15;29
41;45;61;95
58;78;119;135
79;121;145;141
109;153;138;140
166;223;245;245
250;321;306;278
243;305;269;246
185;259;243;248
99;168;161;153
14;42;71;108
0;0;2;16
0;0;0;0
0;0;0;0
14;1;1;1
34;25;34;47
45;49;73;106
71;102;140;132
97;132;138;139
125;148;139;133
210;256;242;254
260;312;285;262
217;292;254;256
149;220;246;248
46;111;149;133
0;6;23;40
0;0;0;1
0;0;0;0
0;0;0;0
4;0;0;1
20;8;5;6
33;32;38;50
55;70;97;130
75;117;131;132
113;141;134;139
157;198;213;234
254;307;281;255
245;321;281;252
184;254;258;252
109;152;150;138
10;25;47;73
0;0;1;10
0;0;0;0
0;0;0;0
5;0;0;0
30;19;23;32
47;52;72;111
63;89;131;136
94;127;132;134
120;139;137;133
195;249;260;256
257;340;336;309
232;328;311;267
173;258;257;253
78;136;137;139
2;15;38;64
0;0;0;1
0;0;0;0
0;0;0;1
6;0;0;0
21;7;5;3
31;29;33;43
51;62;86;124
75;119;134;142
109;135;132;129
141;177;183;193
255;308;271;261
256;333;302;268
195;271;257;248
120;165;168;164
20;32;62;90
0;0;0;6
0;0;0;0
0;0;0;0
1;0;0;0
20;8;12;13
33;27;33;46
50;60;84;122
76;116;130;137
101;146;139;138
134;178;181;183
248;304;262;254
254;333;290;252
189;266;255;252
124;172;178;183
16;36;63;104
0;0;2;15
0;0;0;0
0;0;0;0
4;0;0;0
21;12;12;23
31;29;38;57
52;65;93;127
75;110;134;132
104;147;134;137
153;201;219;248
252;307;281;254
249;330;298;255
192;265;252;238
115;165;164;151
16;31;53;77
0;0;0;3
0;0;0;0
0;0;0;0
3;0;0;1
18;4;3;1
31;25;28;32
55;67;97;129
80;120;138;139
109;136;130;135
132;169;166;171
244;306;267;256
253;321;295;258
202;269;248;261
133;175;189;202
21;48;91;128
0;0;10;28
0;0;0;0
0;0;0;0
2;0;0;0
25;12;13;19
35;31;42;57
57;77;112;124
77;122;134;135
98;150;134;141
171;215;224;244
1662;808;539;437
2316;984;653;508
2187;971;635;506
1204;643;460;380
183;224;251;242
0;0;52;102
0;0;0;26
0;0;0;1
0;0;0;1
0;0;0;0
0;0;0;2
0;0;0;9
0;0;1;2
0;8;18;40
121;109;131;124
975;550;384;314
2288;1021;709;519
2692;1183;733;529
2232;1039;675;499
965;576;392;293
66;166;161;135
0;0;13;23
0;0;0;1
0;0;0;0
0;0;0;0
0;0;0;1
0;0;0;9
0;0;0;1
0;0;2;10
29;32;42;68
206;151;136;136
1369;744;511;398
2618;1123;734;555
2693;1212;729;529
2027;977;628;493
729;491;381;283
0;109;157;134
0;0;13;27
0;0;0;2
0;0;0;1
0;0;0;0
0;0;0;0
0;0;0;3
0;0;0;2
0;0;4;13
103;98;125;126
489;301;247;212
1925;936;640;510
2810;1242;759;561
2590;1217;728;522
1572;830;528;385
383;296;250;197
0;8;54;88
0;0;0;6
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;1
0;0;0;1
0;0;2;6
0;5;12;28
118;91;118;124
574;361;290;246
1984;934;636;510
2774;1228;763;586
2529;1193;736;528
1474;775;517;396
332;293;258;210
0;12;57;100
0;0;0;14
0;0;0;4
0;0;0;1
0;0;0;10
0;0;0;4
0;0;1;11
0;0;4;8
55;59;79;118
217;169;142;135
1199;648;478;386
1542;744;529;435
1384;672;492;418
824;493;409;321
383;282;249;247
131;128;129;140
0;4;21;32
0;0;5;12
0;0;4;15
0;1;3;5
16;23;33;48
42;55;77;115
75;108;137;136
111;133;149;132
200;253;245;249
261;328;321;299
232;326;295;261
170;253;251;252
65;131;149;136
0;12;36;59
0;0;0;1
0;0;0;0
0;0;0;0
12;0;0;0
22;14;12;19
47;50;69;103
63;90;131;139
91;133;141;138
118;154;143;136
212;266;256;253
255;327;311;285
226;310;269;254
164;247;245;241
64;133;135;134
0;8;23;38
0;0;0;0
0;0;0;0
0;0;0;0
13;4;2;3
32;26;33;47
50;63;89;127
66;100;142;129
104;138;133;137
125;153;139;132
226;275;246;259
260;327;306;279
223;307;272;259
147;219;243;252
49;110;136;134
0;2;20;29
0;0;0;0
0;0;0;0
2;0;0;0
13;0;0;1
27;20;19;24
46;52;66;102
75;103;126;134
97;133;144;138
125;141;136;136
233;284;259;250
257;323;304;278
212;290;255;255
140;206;229;256
38;85;138;130
0;0;18;32
0;0;0;0
0;0;0;0
0;0;0;0
14;0;0;1
33;27;35;47
46;55;79;119
74;110;130;133
105;149;134;130
128;152;138;131
243;279;255;257
256;321;302;272
213;292;258;246
134;200;216;233
35;80;128;131
0;0;17;34
0;0;0;0
0;0;0;0
2;0;0;1
15;1;0;1
26;21;22;24
52;62;84;123
69;105;143;132
106;144;135;136
129;174;159;148
249;302;262;258
258;320;292;257
207;275;253;249
130;192;210;243
31;70;121;136
0;0;17;43
0;0;0;0
0;0;0;0
1;0;0;0
13;4;4;12
26;21;23;30
45;52;71;106
73;111;130;132
112;132;148;137
177;212;227;247
310;380;368;375
273;340;344;345
190;263;263;258
66;129;132;154
0;0;0;1
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
3;0;0;0
21;11;12;21
41;42;56;86
59;78;118;131
89;128;136;136
127;148;135;144
238;254;259;245
307;378;382;377
261;326;329;312
170;255;254;248
3;78;131;132
0;0;0;2
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
11;1;2;1
21;7;3;4
43;43;54;78
58;78;111;131
85;129;132;135
124;147;132;144
237;269;238;245
305;376;384;382
257;323;323;310
169;250;265;252
8;82;137;141
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
10;0;1;2
21;11;6;4
37;37;45;61
56;76;108;127
89;131;136;137
126;148;135;139
256;276;246;261
305;374;383;375
255;320;315;296
159;251;256;243
0;69;131;133
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
21;7;6;4
41;41;53;74
59;78;113;131
85;129;134;142
123;153;138;142
206;255;252;248
267;341;332;320
249;328;315;291
185;259;266;252
72;131;133;143
0;0;5;13
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
13;0;0;0
25;16;16;19
47;53;71;115
70;105;138;136
93;133;138;134
120;165;155;138
229;290;248;253
258;327;304;274
212;291;259;240
142;210;236;230
32;82;126;134
0;0;14;26
0;0;0;0
0;0;0;0
0;0;0;0
9;0;0;0
32;23;28;40
44;50;67;102
68;101;136;130
92;135;135;141
123;152;137;140
236;289;264;257
259;331;319;296
231;315;284;258
155;230;251;233
45;113;139;135
0;7;23;36
0;0;0;2
0;0;0;0
0;0;0;0
16;4;4;6
24;20;21;22
45;50;63;95
70;100;134;134
92;134;138;142
122;151;137;142
230;280;246;253
260;329;311;281
219;301;265;249
147;219;243;246
40;99;135;142
0;7;35;58
0;0;0;4
0;0;0;0
0;0;0;0
15;1;2;3
24;15;19;23
43;42;56;86
61;84;118;136
88;130;135;137
119;148;132;145
213;261;253;261
259;330;324;304
234;323;297;265
165;248;255;250
77;133;134;129
0;3;19;21
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
20;9;5;3
42;43;53;73
58;77;109;132
86;124;132;131
125;147;139;129
232;263;251;239
326;383;367;380
372;379;377;375
372;363;343;306
277;236;250;207
130;93;132;126
0;0;2;6
0;0;0;0
0;0;0;0
0;0;0;1
0;0;0;0
0;0;0;1
0;0;1;10
0;0;9;16
0;8;19;39
61;68;93;131
226;193;186;191
1079;634;510;397
1976;885;615;504
2027;901;620;501
1524;738;511;398
554;326;255;200
0;50;93;127
0;0;5;18
0;0;0;0
0;0;0;1
0;0;0;1
0;0;1;4
0;0;2;9
0;0;2;4
0;1;5;13
48;62;87;126
182;147;137;132
890;564;410;332
1647;779;568;438
1863;811;528;415
1478;685;474;379
641;381;303;247
232;212;203;183
102;129;127;130
37;81;132;132
30;79;130;141
42;98;134;137
77;132;130;136
121;147;138;131
259;285;253;247
317;379;364;371
256;311;302;276
