## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-01-22_14-08-46 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch1;ch2;ch3;ch4
3311;-3900;-3900;64
228;160;180;175
116;156;119;100
134;94;112;111
68;119;72;88
125;72;111;64
100;95;80;111
68;88;95;64
80;95;64;102
79;72;95;48
68;95;48;80
95;48;87;79
40;84;79;64
95;48;90;71
40;87;40;64
95;40;68;79
36;95;40;76
95;44;92;63
44;87;36;80
79;48;78;95
60;72;48;64
95;48;80;63
40;92;52;64
94;44;84;79
40;95;52;68
95;48;86;95
71;64;95;48
95;64;94;70
102;79;80;95
64;84;95;77
80;103;64;108
95;72;95;64
84;95;64;111
71;88;95;52
64;95;64;102
79;64;92;95
40;95;54;92
95;64;95;79
48;95;48;72
95;44;95;44
64;95;48;92
60;52;95;71
48;95;40;86
79;64;87;47
64;95;48;76
95;36;95;55
64;79;52;79
44;64;71;36
64;79;44;79
40;76;63;36
48;79;32;64
79;36;79;79
32;76;46;64
95;36;78;47
64;63;52;87
44;64;90;79
64;93;48;76
95;68;79;64
86;55;72;79
64;103;71;80
95;52;88;48
76;55;68;95
52;64;95;48
84;46;72;95
63;68;79;64
103;52;80;95
52;103;64;103
79;64;92;63
72;95;64;95
52;80;63;64
95;44;72;63
48;87;40;48
86;32;64;42
40;79;32;78
32;68;36;56
79;32;68;47
48;79;32;79
32;79;32;74
47;40;79;32
68;47;52;63
40;87;36;79
32;87;32;68
47;72;32;72
87;32;72;55
48;79;36;48
87;36;87;32
48;79;32;52
87;32;84;44
44;79;55;52
95;36;68;87
40;93;44;64
95;48;95;40
52;93;44;94
52;94;63;72
95;64;95;44
84;79;64;95
64;95;64;111
56;94;79;64
102;71;80;87
76;95;64;111
52;109;64;109
52;95;60;72
87;64;87;48
72;87;48;76
87;52;88;52
64;95;44;80
87;48;78;47
52;95;44;84
47;68;79;40
90;36;87;32
52;79;32;79
63;40;79;47
32;79;32;76
55;48;79;32
64;63;48;79
40;79;40;87
40;79;48;87
52;79;40;95
40;92;36;87
47;64;79;52
95;40;76;63
68;63;68;79
48;84;87;64
92;48;64;72
95;48;80;44
64;79;48;95
79;72;79;48
92;62;68;95
40;94;71;68
109;48;88;95
64;95;65;64
103;52;80;79
40;92;79;40
84;32;76;87
53;68;63;48
86;32;64;94
71;64;63;64
95;40;64;87
32;78;32;52
93;36;64;63
36;64;87;32
64;39;52;79
20;68;36;52
79;20;68;63
24;75;39;32
76;32;44;79
20;64;47;32
76;16;60;63
16;64;47;32
76;16;64;63
45;36;76;28
48;79;32;70
47;48;79;36
84;32;76;63
32;84;32;64
95;40;68;79
40;64;38;52
95;32;78;79
44;56;95;36
68;47;52;95
58;76;95;44
72;87;48;92
87;64;95;40
80;71;64;103
87;48;103;44
84;79;64;95
48;72;63;64
95;40;84;79
40;95;40;78
95;52;95;40
76;87;52;95
40;95;48;64
95;48;93;32
72;63;72;79
48;79;36;72
47;52;87;39
40;78;32;64
87;32;87;32
64;79;40;79
46;56;86;38
40;84;32;48
87;36;77;34
40;79;38;72
32;79;32;84
48;61;56;63
64;63;64;79
52;79;64;87
64;63;72;44
68;63;64;87
64;87;64;95
64;79;68;95
72;78;76;87
80;69;76;95
68;87;72;103
52;95;56;92
95;68;95;72
109;52;107;56
96;56;88;68
88;56;86;79
84;63;84;68
80;63;76;79
72;52;78;79
64;93;64;95
64;77;68;78
72;63;68;87
64;79;64;92
48;84;63;64
95;40;92;36
76;38;68;63
64;63;64;24
64;63;52;79
56;55;64;63
64;54;68;63
64;61;64;46
76;36;76;47
72;47;68;32
64;45;68;55
68;44;68;55
64;55;64;79
56;79;64;79
64;79;68;95
68;87;64;95
48;95;48;95
64;92;87;54
64;103;61;84
111;64;110;64
80;95;64;111
64;94;111;79
64;111;72;95
64;96;93;64
84;71;84;95
64;100;56;80
95;68;95;64
88;60;64;95
52;92;48;80
95;48;86;71
40;87;63;72
95;48;64;95
36;76;54;72
87;52;95;44
48;86;32;64
87;52;79;32
68;63;48;80
63;52;79;32
78;63;48;79
36;68;55;36
79;36;56;79
32;71;40;44
79;36;52;63
36;79;32;64
79;32;66;63
36;87;61;44
80;40;76;47
48;87;40;78
55;64;95;36
80;55;68;95
63;48;88;47
64;79;64;95
79;64;95;64
84;44;64;79
48;84;87;52
80;48;80;79
64;95;64;95
54;80;95;52
72;95;64;95
56;80;95;52
92;52;76;79
64;86;44;68
95;64;95;36
68;79;68;95
44;95;52;64
95;40;80;79
40;82;46;64
95;48;80;63
36;79;55;48
87;32;64;79
24;76;60;36
80;16;64;63
32;68;24;48
79;20;48;79
47;36;72;36
48;79;40;79
24;64;45;48
79;32;52;79
16;68;79;32
72;28;56;79
32;76;42;52
87;24;64;79
47;44;79;32
72;63;52;93
63;64;79;36
84;44;72;87
32;87;36;88
71;64;84;79
48;95;48;93
71;64;86;79
64;95;48;95
63;80;79;48
80;95;63;72
103;52;76;95
40;86;54;64
95;48;76;87
48;95;52;64
95;36;84;79
48;92;40;64
95;32;68;79
40;79;32;72
79;40;70;79
32;76;55;64
93;32;68;79
44;56;63;40
79;24;70;55
32;70;47;36
79;32;64;63
20;64;43;48
79;20;68;55
24;70;44;64
79;32;79;47
32;70;55;48
87;36;64;79
32;72;36;64
87;48;87;47
64;63;48;94
58;48;95;52
48;84;52;64
95;36;84;63
48;91;40;80
79;64;92;62
64;94;79;48
100;52;64;95
87;48;95;54
68;95;64;103
48;80;87;44
84;44;52;95
71;44;84;63
64;55;64;92
71;64;79;36
78;61;48;87
45;76;47;48
86;32;68;63
40;76;47;40
72;20;52;79
20;68;32;79
44;32;68;63
20;64;55;32
71;28;44;79
20;64;39;36
71;24;64;63
20;68;55;32
78;16;64;63
20;68;55;32
76;22;56;79
24;70;36;52
87;32;79;79
36;72;63;48
87;32;72;79
36;80;71;40
86;32;56;95
58;52;80;63
64;79;40;84
79;48;86;52
64;87;48;84
79;72;87;48
94;40;84;87
48;88;76;64
100;52;64;95
40;80;95;40
76;60;52;95
47;72;71;64
95;36;76;79
40;76;63;52
94;32;68;79
32;84;36;68
79;32;64;63
36;72;63;32
72;32;40;79
