## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2019-02-04_16-21-25 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch/%d;%d;%d;%d;lp/%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;
1;1;1;1;83;98;98;13;43;43;15;46;46;17;48;48;19;53;53;
2;2;2;2;83;98;98;13;43;43;15;46;46;17;48;48;19;53;53;
2;2;2;2;83;98;98;13;43;43;15;46;46;17;48;48;19;53;53;
2;2;2;2;83;98;98;13;43;43;15;46;46;17;48;48;19;53;53;
2;2;2;2;83;98;98;13;43;43;15;46;46;17;48;48;19;53;53;
2;2;2;2;83;98;98;13;43;43;15;46;46;17;48;48;19;53;53;
2;2;2;2;83;98;98;13;43;43;15;46;46;17;48;48;19;53;53;
2;2;2;2;79;96;96;16;47;47;20;51;51;21;53;53;25;59;59;
2;2;2;2;74;93;93;20;51;51;25;57;57;27;58;58;31;64;64;
2;2;2;2;74;93;93;20;51;51;25;57;57;27;58;58;31;64;64;
2;2;2;2;74;93;93;20;51;51;25;57;57;27;58;58;31;64;64;
2;2;2;2;74;93;93;20;51;51;25;57;57;27;58;58;31;64;64;
2;2;2;2;74;93;93;20;51;51;25;57;57;27;58;58;31;64;64;
2;2;2;2;74;93;93;20;51;51;25;57;57;27;58;58;31;64;64;
2;2;2;2;74;93;93;20;51;51;25;57;57;27;58;58;31;64;64;
2;2;2;2;74;93;93;20;51;51;25;57;57;27;58;58;31;64;64;
2;2;2;2;65;89;89;26;58;58;34;66;66;36;67;67;41;73;73;
2;2;2;2;65;89;89;26;58;58;34;66;66;36;67;67;41;73;73;
2;2;2;2;65;89;89;26;58;58;34;66;66;36;67;67;41;73;73;
2;2;2;2;65;89;89;26;58;58;34;66;66;36;67;67;41;73;73;
2;2;2;2;65;89;89;26;58;58;34;66;66;36;67;67;41;73;73;
2;2;2;2;65;89;89;26;58;58;34;66;66;36;67;67;41;73;73;
2;2;2;2;61;87;87;28;60;60;37;68;68;39;69;69;46;77;77;
2;2;2;2;61;87;87;28;60;60;37;68;68;39;69;69;46;77;77;
2;2;2;2;61;87;87;28;60;60;37;68;68;39;69;69;46;77;77;
2;2;2;2;61;87;87;28;60;60;37;68;68;39;69;69;46;77;77;
2;2;2;2;61;87;87;28;60;60;37;68;68;39;69;69;46;77;77;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
2;2;2;2;58;86;86;29;61;61;40;70;70;42;71;71;50;79;79;
