## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-01-22_14-04-59 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch1;ch2;ch3;ch4
3311;-3900;-3900;3311
215;204;191;175
144;173;104;150
92;124;101;96
116;95;96;127
95;110;72;108
78;80;111;68
84;111;64;103
95;68;109;85
64;111;64;100
95;68;111;68
76;110;64;68
100;62;76;100
95;84;87;64
95;95;56;88
111;80;95;72
96;95;68;100
103;64;64;100
79;84;56;84
111;64;100;79
68;111;54;88
95;76;87;72
88;103;64;68
88;79;48;103
69;64;71;64
103;48;92;63
48;95;36;80
87;64;95;38
64;87;48;64
92;40;91;40
64;79;48;87
71;64;93;46
48;87;44;64
87;36;72;95
62;40;87;32
64;79;64;87
54;68;36;68
95;64;63;52
93;32;85;79
40;80;51;64
95;40;72;87
55;68;47;68
95;32;92;77
64;95;40;88
54;72;71;64
103;64;87;55
80;79;64;92
63;76;63;68
95;48;78;95
70;80;79;64
108;52;64;95
87;68;107;52
88;79;64;95
87;88;79;64
96;79;76;101
79;80;111;44
80;79;64;111
77;80;77;64
76;95;56;68
88;63;72;95
63;68;87;40
72;95;44;76
95;44;92;87
44;95;40;84
87;40;95;46
64;87;44;76
95;48;78;95
36;95;40;80
63;68;53;64
79;44;72;79
40;85;32;70
63;52;63;40
64;79;47;64
86;32;76;79
40;76;95;40
64;63;36;78
55;68;36;72
87;64;95;46
64;95;55;76
95;48;95;95
48;95;48;80
95;68;79;64
92;95;52;84
95;56;68;102
57;88;52;84
95;76;111;66
64;108;44;88
95;68;108;44
84;95;44;88
48;84;63;72
79;68;87;64
95;48;84;95
48;93;63;72
71;68;79;64
95;40;95;40
92;44;64;92
36;76;55;68
79;64;87;40
86;46;64;87
48;93;36;68
79;36;87;32
48;79;56;87
32;91;32;76
79;48;91;47
36;84;32;64
63;52;87;32
72;55;40;87
47;72;79;40
52;84;32;72
87;48;79;64
95;52;95;32
86;48;68;95
40;80;71;68
79;64;95;48
93;54;80;87
64;95;48;103
52;95;54;76
95;64;103;52
84;79;64;95
71;84;70;72
95;77;48;92
63;80;79;64
95;63;64;95
52;88;52;64
95;56;48;90
79;68;52;64
95;44;64;92
63;64;61;64
95;40;95;55
68;71;36;95
40;89;46;68
79;64;79;44
79;55;76;79
68;63;48;95
44;64;87;40
93;36;94;40
78;40;64;63
48;79;32;87
79;48;87;87
46;87;32;72
77;68;79;44
72;71;64;95
63;64;87;44
68;79;52;94
44;88;36;68
84;63;40;78
95;48;84;95
48;95;58;76
92;63;68;95
48;95;48;95
71;68;103;56
92;63;80;95
48;95;71;80
95;64;103;69
88;79;84;95
80;95;56;92
71;80;95;64
95;64;95;55
84;87;48;95
48;95;44;76
63;68;55;68
95;40;86;95
32;84;32;76
63;64;87;61
48;87;55;64
92;36;85;53
48;87;46;64
79;52;87;32
52;78;54;32
64;79;24;64
63;56;28;56
70;34;64;39
60;47;64;63
40;79;40;79
32;87;32;79
40;95;40;93
32;92;40;95
36;95;40;95
40;95;44;95
48;95;64;95
48;92;63;68
87;64;79;64
95;64;95;48
103;64;95;54
72;95;68;95
48;103;48;95
52;103;52;92
58;92;54;111
44;103;52;94
52;103;48;95
48;95;48;95
52;95;64;88
71;68;79;64
54;92;44;52
95;48;87;63
68;79;52;95
72;63;68;87
36;95;40;95
36;95;44;95
36;95;40;95
40;95;40;87
36;84;36;76
32;79;32;64
55;64;61;64
63;52;63;32
79;36;87;24
68;55;56;79
40;87;32;72
95;40;84;79
48;71;52;92
36;76;32;64
78;46;64;76
79;40;86;63
48;95;48;68
95;44;95;60
64;93;48;92
68;80;71;64
92;77;48;92
95;64;111;65
72;95;44;84
102;56;80;95
68;88;71;64
108;60;72;103
48;88;79;64
95;48;80;79
64;86;54;64
95;52;95;44
78;63;32;76
63;64;63;52
87;36;79;79
36;87;63;48
85;36;64;87
28;72;55;48
87;48;79;32
48;84;20;72
63;68;36;52
79;40;71;36
56;63;24;56
79;32;79;43
64;63;32;64
79;48;95;36
40;87;32;68
87;40;70;95
36;95;52;64
95;40;64;84
87;64;79;64
84;71;40;84
95;64;95;48
76;61;64;95
95;68;87;52
