## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-01-22_13-51-42 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch1;ch2;ch3;ch4
3311;-3900;-3900;1243
4093;4074;4033;3972
3887;3787;3671;3535
3392;3249;3098;2939
2765;2594;2414;2235
2041;1860;1676;1496
1311;1145;986;832
686;554;418;302
202;122;62;22
2;4;26;68
128;210;311;429
566;704;846;998
1168;1335;1508;1687
1878;2064;2203;2340
2483;2615;2748;2878
3011;3150;3282;3406
3522;3655;3768;3872
3955;4021;4066;4090
4094;4075;4036;3978
3894;3796;3681;3559
3404;3264;3111;2953
2775;2603;2422;2238
2048;1866;1682;1503
1324;1154;995;844
693;563;438;318
214;133;71;27
4;2;19;57
117;194;289;394
530;673;815;964
1129;1295;1472;1654
1845;2028;2211;2350
2495;2627;2757;2883
3011;3150;3282;3406
3522;3656;3767;3869
3956;4021;4066;4090
4094;4075;4037;3977
3896;3796;3680;3556
3412;3268;3114;2952
2779;2604;2426;2242
2053;1867;1683;1502
1318;1148;984;833
686;554;419;309
205;126;65;23
2;2;22;62
125;206;305;412
550;697;842;993
1159;1329;1503;1685
1874;2061;2199;2337
2480;2612;2745;2871
3011;3150;3282;3406
3522;3655;3768;3872
3955;4021;4066;4090
4094;4075;4036;3978
3894;3796;3681;3559
3404;3264;3111;2953
2775;2603;2422;2238
2048;1866;1682;1503
1324;1154;995;844
693;563;438;318
214;133;71;27
4;2;19;57
117;194;289;394
530;673;815;964
1129;1295;1472;1654
1845;2028;2211;2350
2495;2627;2757;2883
3011;3150;3282;3406
3522;3655;3768;3872
3955;4021;4066;4090
4094;4075;4036;3978
3894;3796;3681;3559
3404;3264;3111;2953
2775;2603;2422;2238
2048;1866;1682;1503
1324;1154;995;844
693;563;438;318
214;133;71;27
4;2;19;57
117;194;289;394
530;673;815;964
1129;1295;1472;1654
1845;2028;2211;2350
2495;2627;2757;2883
3011;3150;3282;3406
3522;3656;3767;3869
3956;4021;4066;4090
4094;4075;4037;3977
3896;3796;3680;3556
3412;3268;3114;2952
2779;2604;2426;2242
2053;1867;1683;1502
1318;1148;984;833
686;554;419;309
205;126;65;23
2;2;22;62
125;206;305;412
550;697;842;993
1159;1329;1503;1685
1874;2061;2199;2337
2480;2612;2745;2871
3011;3150;3282;3406
3522;3655;3768;3872
3955;4021;4066;4090
4094;4075;4036;3978
3894;3796;3681;3559
