## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-01-22_13-14-36 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch1;ch2;ch3;ch4
3311;-3900;-3900;308
207;207;143;128
116;112;112;128
143;103;68;64
72;92;111;111
87;64;72;76
84;94;111;79
71;64;80;96
94;95;71;64
64;68;76;72
78;95;79;52
54;52;68;68
76;90;95;79
63;48;76;82
103;95;62;48
72;103;63;40
52;84;95;79
61;52;64;48
64;87;95;55
46;48;64;68
76;87;79;40
40;48;64;76
76;79;63;32
44;56;72;79
79;36;36;32
36;56;79;79
63;36;36;44
56;68;79;36
34;32;52;70
79;28;32;48
76;63;32;32
40;44;60;64
63;63;24;36
52;64;79;79
47;32;48;72
87;63;32;32
40;64;78;79
55;36;64;72
95;63;40;40
44;56;70;95
55;36;64;78
95;71;48;52
76;92;95;44
64;84;95;87
44;64;68;92
95;79;48;64
94;95;79;64
68;94;103;79
48;68;80;94
95;95;95;63
64;76;82;103
95;48;64;64
68;94;94;87
63;48;68;68
72;87;63;44
40;48;76;86
79;32;48;48
56;64;79;79
47;32;48;64
79;71;34;32
56;70;79;43
32;52;74;79
55;32;36;52
78;79;47;32
48;56;76;63
32;40;64;79
79;35;32;44
64;79;63;32
32;48;64;79
79;79;79;79
63;48;72;95
79;40;52;64
64;86;95;79
63;40;64;76
95;63;40;64
64;64;64;80
95;55;52;84
95;71;48;36
52;80;95;54
40;52;76;95
79;48;40;64
76;95;79;42
48;76;95;54
40;72;95;79
46;64;76;87
95;71;40;64
76;95;79;40
64;76;87;79
47;52;64;87
87;95;50;48
64;68;78;79
63;36;32;32
40;52;68;79
55;32;40;44
64;79;26;20
36;44;54;64
63;22;24;36
40;56;63;47
39;32;48;64
79;43;16;44
64;79;63;36
36;32;32;48
76;63;32;32
32;32;40;40
48;54;77;63
55;32;32;40
56;76;63;28
36;40;64;70
79;79;79;46
47;44;64;68
79;87;61;32
46;36;64;64
64;79;79;55
55;48;94;95
79;48;68;95
95;47;48;64
76;95;71;44
50;40;78;87
87;95;95;63
63;48;64;64
76;87;55;40
44;56;64;72
72;79;63;47
45;32;32;44
64;79;79;46
47;40;64;87
63;32;48;78
79;32;44;64
64;79;39;32
56;79;63;32
48;70;79;47
32;64;79;47
32;52;79;63
32;48;78;79
41;40;64;79
63;32;52;87
79;38;40;72
87;54;40;64
72;79;38;40
64;87;63;40
64;95;59;36
64;93;79;44
64;90;87;63
48;78;95;87
63;64;80;111
95;64;80;106
111;64;72;96
111;71;64;84
111;60;64;88
110;79;64;76
80;103;63;48
76;103;79;48
72;95;62;40
68;95;63;40
64;90;79;52
48;72;95;54
48;76;95;71
40;64;64;92
87;47;40;64
86;63;32;52
64;79;44;32
52;68;79;79
47;32;44;68
87;32;32;36
48;52;60;79
63;32;40;48
70;63;24;36
40;44;58;68
63;63;32;44
52;68;63;55
47;32;40;64
79;79;32;36
64;72;79;47
55;32;48;64
87;79;32;52
64;78;87;95
79;40;64;76
95;95;87;95
95;64;64;72
84;94;95;79
71;64;68;94
111;71;64;64
72;84;95;95
87;48;86;92
95;103;48;64
76;88;95;79
55;48;52;68
92;95;46;36
44;64;68;95
79;36;48;64
64;70;79;44
42;32;48;48
