## File generated by myo_cap software
## Available from github.com/ddantas/myo_cap
## Timestamp: 2018-05-23_20-57-32
##
## EMG capture settings##
# sampleRate: 2000.0
# channelsPerBoard: 4.0
# nBoards: 1.0
# bitsPerSample: 12.0
##
## Data
## t; ch0; ch1; ch2; ch3
184 251 253 250
102 165 160 142
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
7 0 0 0
20 7 1 0
38 33 31 27
91 123 128 128
142 184 195 207
222 284 260 255
252 329 304 266
215 295 258 249
154 235 252 237
50 125 135 132
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
2 0 0 0
16 1 0 0
18 7 0 0
45 45 48 55
106 132 121 130
168 217 232 250
249 322 309 268
249 332 319 269
200 273 258 242
132 185 200 197
0 31 48 65
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
13 0 0 0
19 11 1 0
58 68 81 113
124 131 143 134
180 222 249 255
252 307 291 261
248 303 275 250
194 255 261 250
130 178 188 191
0 10 17 15
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
17 4 0 0
27 25 14 11
75 100 127 118
134 165 169 162
212 267 257 249
250 322 301 262
216 293 255 250
159 234 252 224
53 125 133 127
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
14 1 0 0
23 14 8 1
54 61 78 98
110 130 137 133
171 212 236 258
249 302 287 255
253 300 278 253
196 258 257 259
135 185 195 203
1 29 49 68
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
4 0 0 0
16 3 0 0
27 23 18 15
72 92 120 131
140 161 164 153
202 252 253 258
257 308 282 253
238 313 276 250
182 255 256 234
100 163 156 135
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
9 0 0 0
11 1 0 0
26 26 15 13
78 102 127 125
136 168 175 173
219 273 260 257
251 321 300 260
218 292 255 256
155 231 254 262
46 116 131 130
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
13 0 0 0
20 7 0 0
50 53 60 79
111 130 134 135
169 206 222 244
253 324 309 280
250 332 317 270
196 267 264 241
133 182 195 203
3 33 51 74
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
4 0 0 0
13 1 0 0
28 21 15 8
57 70 89 118
129 140 134 134
188 241 256 248
253 316 303 268
245 304 274 252
193 256 255 244
124 166 169 151
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
4 0 0 0
10 0 0 0
25 20 19 15
70 84 116 123
132 151 149 139
204 253 255 245
255 305 286 254
231 305 264 254
178 256 246 241
90 158 149 128
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
8 0 0 0
14 1 0 0
33 26 22 18
85 114 140 132
144 184 197 212
219 285 258 261
251 306 279 248
220 286 252 258
155 228 246 246
54 127 131 126
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
15 1 0 0
16 8 0 0
41 43 43 51
103 127 132 126
166 212 237 226
245 321 303 267
250 338 327 290
199 276 249 253
132 186 193 195
1 31 47 61
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
16 1 0 0
31 20 13 4
56 73 92 118
129 143 137 138
189 243 248 242
255 316 301 260
247 304 277 250
199 253 254 249
124 165 160 137
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
7 0 0 0
17 5 0 0
29 27 21 20
68 88 111 121
138 161 158 148
204 257 252 261
251 308 285 259
229 303 265 255
176 252 254 246
87 152 137 134
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
9 0 0 0
18 9 1 0
37 35 35 38
84 119 128 125
137 179 184 189
211 272 264 251
249 320 299 264
220 301 266 250
160 238 255 243
61 128 137 133
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
8 0 0 0
15 3 0 0
43 45 48 59
95 123 129 127
156 188 204 224
243 285 260 254
252 304 276 261
212 275 251 242
140 201 220 239
16 61 97 135
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
13 1 0 0
25 20 9 3
56 69 86 117
123 132 149 136
172 215 243 234
254 304 293 261
249 305 276 253
197 258 245 252
128 175 172 159
0 8 2 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
10 0 0 0
23 16 8 3
57 68 86 121
118 144 131 132
179 233 254 239
252 313 299 263
242 300 269 253
190 251 259 247
130 178 188 188
0 6 7 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
2 0 0 0
10 0 0 0
24 16 11 4
55 69 85 112
128 141 132 137
188 244 245 241
251 315 301 267
242 299 266 258
190 258 242 252
122 197 197 198
0 17 22 22
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
5 0 0 0
13 1 0 0
29 25 17 13
78 105 121 127
137 171 171 173
216 273 254 252
250 320 297 265
210 285 249 260
152 228 252 260
43 118 132 130
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
10 3 0 0
21 13 6 1
52 63 74 102
119 130 135 148
185 229 252 261
256 313 299 264
249 325 302 253
194 264 255 243
129 190 200 205
0 12 25 25
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
7 0 0 0
17 4 0 0
35 33 29 30
80 108 134 124
134 190 199 206
209 273 253 252
251 325 301 259
219 299 263 248
165 248 246 254
66 135 128 132
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
6 0 0 0
22 10 2 0
44 52 56 74
100 127 134 127
163 209 234 249
245 317 303 265
251 339 326 279
201 277 258 254
138 202 219 240
11 53 92 125
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
