## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2019-02-04_16-23-06 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch/%d;%d;%d;%d;lp/%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;
0;0;0;0;91;98;98;5;18;18;8;24;24;8;21;21;53;69;69;
0;0;0;0;91;98;98;5;18;18;8;24;24;8;21;21;53;69;69;
0;0;0;0;92;98;98;4;17;17;7;22;22;7;20;20;51;67;67;
0;0;0;0;92;98;98;4;17;17;7;22;22;7;20;20;51;67;67;
0;0;0;0;92;98;98;4;17;17;7;22;22;7;20;20;51;67;67;
0;0;0;0;92;98;98;4;17;17;7;22;22;7;20;20;51;67;67;
0;0;0;0;92;98;98;4;17;17;7;22;22;7;20;20;51;67;67;
0;0;0;0;92;98;98;4;17;17;7;22;22;7;20;20;51;67;67;
0;0;0;0;92;98;98;4;17;17;7;22;22;7;20;20;51;67;67;
0;0;0;0;92;98;98;4;17;17;7;22;22;7;20;20;51;67;67;
0;0;0;0;93;98;98;4;18;18;6;22;22;7;19;19;49;65;65;
0;0;0;0;93;98;98;4;18;18;6;22;22;7;19;19;49;65;65;
0;0;0;0;93;98;98;4;18;18;6;22;22;7;19;19;49;65;65;
0;0;0;0;93;98;98;4;18;18;6;22;22;7;19;19;49;65;65;
0;0;0;0;93;98;98;4;18;18;6;22;22;7;19;19;49;65;65;
0;0;0;0;93;98;98;4;18;18;6;22;22;7;19;19;49;65;65;
0;0;0;0;93;98;98;4;18;18;6;22;22;7;19;19;49;65;65;
0;0;0;0;93;98;98;4;18;18;6;22;22;7;19;19;49;65;65;
0;0;0;0;93;98;98;4;18;18;6;22;22;7;19;19;49;65;65;
0;0;0;0;93;98;98;4;18;18;6;22;22;7;19;19;49;65;65;
0;0;0;0;93;98;98;4;18;18;6;22;22;7;19;19;49;65;65;
0;0;0;0;93;98;98;4;18;18;6;22;22;7;19;19;49;65;65;
0;0;0;0;93;98;98;4;18;18;6;22;22;7;19;19;49;65;65;
0;0;0;0;93;98;98;3;16;16;5;20;20;5;17;17;46;62;62;
0;0;0;0;93;98;98;3;16;16;5;20;20;5;17;17;46;62;62;
0;0;0;0;93;98;98;3;16;16;5;20;20;5;17;17;46;62;62;
0;0;0;0;94;98;98;2;15;15;4;18;18;4;16;16;43;60;60;
0;0;0;0;94;98;98;2;15;15;4;18;18;4;16;16;43;60;60;
0;0;0;0;94;98;98;2;15;15;4;18;18;4;16;16;43;60;60;
0;0;0;0;94;98;98;2;15;15;4;18;18;4;16;16;43;60;60;
0;0;0;0;94;98;98;2;15;15;4;18;18;4;16;16;43;60;60;
0;0;0;0;94;98;98;2;15;15;4;18;18;4;16;16;43;60;60;
0;0;0;0;94;98;98;2;15;15;4;18;18;4;16;16;43;60;60;
0;0;0;0;94;98;98;2;15;15;4;18;18;4;16;16;43;60;60;
0;0;0;0;94;98;98;2;15;15;4;18;18;4;16;16;43;60;60;
0;0;0;0;94;98;98;2;15;15;4;18;18;4;16;16;43;60;60;
