## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-01-22_14-09-10 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch1;ch2;ch3;ch4
3311;-3900;-3900;3311
224;207;160;174
159;128;143;87
108;127;72;104
111;92;95;64
102;87;92;111
68;92;95;64
96;95;92;111
68;102;77;72
109;56;84;95
64;102;95;64
94;111;56;84
95;96;111;64
84;109;64;84
111;64;111;95
64;92;95;64
111;64;102;95
64;111;64;80
111;76;100;87
64;111;64;102
95;76;111;64
88;95;80;111
95;80;119;71
76;111;77;68
102;68;84;109
52;100;56;72
95;64;95;71
68;63;68;95
71;72;79;48
76;63;64;95
63;72;79;40
76;63;72;95
40;76;79;32
64;95;64;95
63;68;79;48
87;32;87;79
48;72;95;40
64;87;40;64
95;32;80;61
48;79;79;36
84;63;72;79
36;95;40;76
87;64;95;47
68;63;64;95
63;64;95;40
68;95;44;72
95;55;48;87
79;84;63;68
95;64;95;48
72;71;64;95
79;92;57;64
94;63;64;92
95;84;79;64
92;77;80;111
64;111;64;111
64;111;64;100
79;80;79;64
111;52;95;57
95;60;80;95
64;95;68;109
64;103;48;95
48;94;44;76
63;72;79;48
84;40;78;63
64;63;64;61
64;79;52;95
40;93;36;76
44;68;47;64
63;40;87;32
79;32;76;63
52;79;48;79
40;79;36;82
36;68;63;64
55;64;63;64
79;48;87;40
79;44;87;52
93;40;84;40
68;79;64;95
40;95;40;92
44;86;46;80
63;64;79;40
95;40;95;54
72;79;64;71
64;95;48;92
60;80;44;76
79;64;79;76
95;64;95;64
95;60;84;103
64;95;64;95
64;107;64;100
52;94;60;84
63;84;62;84
87;64;95;48
84;44;88;79
48;92;87;40
72;63;64;95
63;64;87;44
64;38;68;87
58;72;95;63
64;79;48;87
63;64;87;55
64;79;64;89
61;68;95;36
72;63;64;95
55;64;87;77
44;64;87;40
86;36;72;79
32;87;64;87
79;76;95;44
76;95;64;94
79;80;95;44
68;95;64;95
87;80;95;48
80;79;64;100
95;80;95;48
84;87;52;84
95;72;103;63
80;76;88;111
74;84;111;64
92;95;64;100
95;92;119;64
92;79;88;111
79;88;119;66
88;111;64;84
111;72;111;64
80;93;64;92
95;88;63;64
95;44;92;87
52;76;95;44
68;79;64;88
79;80;55;64
95;64;95;46
72;90;54;64
86;79;48;64
87;46;48;87
46;52;79;32
87;44;40;76
63;48;79;36
64;79;32;68
79;32;64;79
55;64;87;32
64;87;63;52
95;44;68;87
